time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,move_measure,school_stability,number,percentage
2022,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Any moves,Total children,480,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Any moves,With no moves during the year,460,96
2022,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Any moves,With one or more moves during the year,20,4
2022,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Mid-year moves,Total children,480,100
2022,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Mid-year moves,With no mid-year moves during the year,460,97
2022,Reporting year,National,E92000001,England,CLA on 31 March,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,Mid-year moves,With one or more mid-year moves during the year,10,3
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,Total children,26370,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,With no moves during the year,23600,89
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Any moves,With one or more moves during the year,2770,11
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,Total children,26370,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,With no mid-year moves during the year,24910,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,10 to 15 years,Mid-year moves,With one or more mid-year moves during the year,1470,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,Total children,3180,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,With no moves during the year,2960,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Any moves,With one or more moves during the year,230,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,Total children,3180,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,With no mid-year moves during the year,3050,96
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,16 years and over,Mid-year moves,With one or more mid-year moves during the year,130,4
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,Total children,14790,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,With no moves during the year,12220,83
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Any moves,With one or more moves during the year,2580,17
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,Total children,14790,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,With no mid-year moves during the year,13310,90
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,4 to 9 years,Mid-year moves,With one or more mid-year moves during the year,1490,10
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,Total children,44350,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,With no moves during the year,38780,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Any moves,With one or more moves during the year,5570,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,Total children,44350,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,With no mid-year moves during the year,41260,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Age group,Total children,Mid-year moves,With one or more mid-year moves during the year,3090,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,Total children,35010,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,With no moves during the year,30550,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Any moves,With one or more moves during the year,4450,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,Total children,35010,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,With no mid-year moves during the year,32550,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1. Total White,Mid-year moves,With one or more mid-year moves during the year,2450,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,Total children,32980,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,With no moves during the year,28820,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Any moves,With one or more moves during the year,4160,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,Total children,32980,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,With no mid-year moves during the year,30690,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1a. White British,Mid-year moves,With one or more mid-year moves during the year,2290,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,Total children,100,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,With no moves during the year,80,85
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Any moves,With one or more moves during the year,20,15
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,Total children,100,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,With no mid-year moves during the year,90,88
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1b. White Irish,Mid-year moves,With one or more mid-year moves during the year,10,12
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,Total children,90,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,With no moves during the year,70,82
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Any moves,With one or more moves during the year,20,18
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,Total children,90,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,With no mid-year moves during the year,80,91
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1c. Traveller of Irish Heritage,Mid-year moves,With one or more mid-year moves during the year,10,9
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,Total children,330,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,With no moves during the year,260,80
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Any moves,With one or more moves during the year,70,20
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,Total children,330,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,With no mid-year moves during the year,290,88
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1d. Gypsy Roma,Mid-year moves,With one or more mid-year moves during the year,40,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,Total children,1510,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,With no moves during the year,1310,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Any moves,With one or more moves during the year,200,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,Total children,1510,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,With no mid-year moves during the year,1410,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,1e. Any other White background,Mid-year moves,With one or more mid-year moves during the year,100,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,Total children,4730,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,With no moves during the year,4140,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Any moves,With one or more moves during the year,590,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,Total children,4730,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,With no mid-year moves during the year,4400,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,Mid-year moves,With one or more mid-year moves during the year,330,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,Total children,1610,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,With no moves during the year,1410,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Any moves,With one or more moves during the year,210,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,Total children,1610,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,With no mid-year moves during the year,1500,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2a. White and Black Caribbean,Mid-year moves,With one or more mid-year moves during the year,120,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,Total children,550,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,With no moves during the year,480,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Any moves,With one or more moves during the year,70,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,Total children,550,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,With no mid-year moves during the year,520,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2b. White and Black African,Mid-year moves,With one or more mid-year moves during the year,40,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,Total children,1050,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,With no moves during the year,940,90
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Any moves,With one or more moves during the year,110,10
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,Total children,1050,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,With no mid-year moves during the year,990,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2c. White and Asian,Mid-year moves,With one or more mid-year moves during the year,60,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Any moves,Total children,1520,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Any moves,With no moves during the year,1310,86
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Any moves,With one or more moves during the year,210,14
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Mid-year moves,Total children,1520,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Mid-year moves,With no mid-year moves during the year,1400,92
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,2d. Any other Mixed background,Mid-year moves,With one or more mid-year moves during the year,120,8
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Any moves,Total children,1520,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Any moves,With no moves during the year,1360,89
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Any moves,With one or more moves during the year,160,11
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Mid-year moves,Total children,1520,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Mid-year moves,With no mid-year moves during the year,1440,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3. Total Asian or Asian British,Mid-year moves,With one or more mid-year moves during the year,90,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Any moves,Total children,180,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Any moves,With no moves during the year,170,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Any moves,With one or more moves during the year,10,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Mid-year moves,Total children,180,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Mid-year moves,With no mid-year moves during the year,180,98
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3a. Indian,Mid-year moves,With one or more mid-year moves during the year,c,c
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Any moves,Total children,610,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Any moves,With no moves during the year,540,88
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Any moves,With one or more moves during the year,70,12
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Mid-year moves,Total children,610,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Mid-year moves,With no mid-year moves during the year,580,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3b. Pakistani,Mid-year moves,With one or more mid-year moves during the year,40,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Any moves,Total children,240,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Any moves,With no moves during the year,220,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Any moves,With one or more moves during the year,20,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Mid-year moves,Total children,240,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Mid-year moves,With no mid-year moves during the year,230,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3c. Bangladeshi,Mid-year moves,With one or more mid-year moves during the year,10,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Any moves,Total children,50,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Any moves,With no moves during the year,50,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Any moves,With one or more moves during the year,c,c
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Mid-year moves,Total children,50,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Mid-year moves,With no mid-year moves during the year,50,96
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3d. Chinese,Mid-year moves,With one or more mid-year moves during the year,c,c
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Any moves,Total children,430,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Any moves,With no moves during the year,370,86
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Any moves,With one or more moves during the year,60,14
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Mid-year moves,Total children,430,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Mid-year moves,With no mid-year moves during the year,400,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,3e. Any other Asian background,Mid-year moves,With one or more mid-year moves during the year,30,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Any moves,Total children,2420,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Any moves,With no moves during the year,2160,89
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Any moves,With one or more moves during the year,270,11
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Mid-year moves,Total children,2420,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Mid-year moves,With no mid-year moves during the year,2250,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",Mid-year moves,With one or more mid-year moves during the year,170,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Any moves,Total children,730,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Any moves,With no moves during the year,650,89
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Any moves,With one or more moves during the year,80,11
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Mid-year moves,Total children,730,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Mid-year moves,With no mid-year moves during the year,670,92
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4a. Caribbean,Mid-year moves,With one or more mid-year moves during the year,60,8
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Any moves,Total children,1100,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Any moves,With no moves during the year,990,90
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Any moves,With one or more moves during the year,110,10
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Mid-year moves,Total children,1100,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Mid-year moves,With no mid-year moves during the year,1040,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4b. African,Mid-year moves,With one or more mid-year moves during the year,70,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Any moves,Total children,590,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Any moves,With no moves during the year,510,88
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Any moves,With one or more moves during the year,70,12
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Mid-year moves,Total children,590,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Mid-year moves,With no mid-year moves during the year,540,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,4c. Any other Black background,Mid-year moves,With one or more mid-year moves during the year,40,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Any moves,Total children,610,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Any moves,With no moves during the year,520,86
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Any moves,With one or more moves during the year,90,14
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Mid-year moves,Total children,610,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Mid-year moves,With no mid-year moves during the year,560,92
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,5. Total other ethnic group,Mid-year moves,With one or more mid-year moves during the year,50,8
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Any moves,Total children,70,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Any moves,With no moves during the year,60,86
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Any moves,With one or more moves during the year,10,14
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Mid-year moves,Total children,70,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Mid-year moves,With no mid-year moves during the year,60,89
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6. Total refused or information not yet available,Mid-year moves,With one or more mid-year moves during the year,10,11
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Any moves,Total children,10,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Any moves,With no moves during the year,10,85
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Any moves,With one or more moves during the year,c,c
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Mid-year moves,Total children,10,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Mid-year moves,With no mid-year moves during the year,10,92
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6a. Refused,Mid-year moves,With one or more mid-year moves during the year,c,c
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Any moves,Total children,60,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Any moves,With no moves during the year,50,86
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Any moves,With one or more moves during the year,10,14
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Mid-year moves,Total children,60,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Mid-year moves,With no mid-year moves during the year,50,88
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,6b. Information not yet obtained,Mid-year moves,With one or more mid-year moves during the year,10,12
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Any moves,Total children,44350,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Any moves,With no moves during the year,38780,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Any moves,With one or more moves during the year,5570,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Mid-year moves,Total children,44350,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Mid-year moves,With no mid-year moves during the year,41260,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,Ethnicity,Total children,Mid-year moves,With one or more mid-year moves during the year,3090,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Any moves,Total children,36910,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Any moves,With no moves during the year,32550,88
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Any moves,With one or more moves during the year,4360,12
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Mid-year moves,Total children,36910,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Mid-year moves,With no mid-year moves during the year,34580,94
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Care orders,Mid-year moves,With one or more mid-year moves during the year,2330,6
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Any moves,Total children,1030,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Any moves,With no moves during the year,880,85
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Any moves,With one or more moves during the year,160,15
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Mid-year moves,Total children,1030,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Mid-year moves,With no mid-year moves during the year,930,90
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Detained for child protection,Mid-year moves,With one or more mid-year moves during the year,100,10
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Any moves,Total children,1200,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Any moves,With no moves during the year,860,72
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Any moves,With one or more moves during the year,340,28
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Mid-year moves,Total children,1200,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Mid-year moves,With no mid-year moves during the year,990,83
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Placement order granted,Mid-year moves,With one or more mid-year moves during the year,210,17
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Any moves,Total children,44350,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Any moves,With no moves during the year,38780,87
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Any moves,With one or more moves during the year,5570,13
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Mid-year moves,Total children,44350,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Mid-year moves,With no mid-year moves during the year,41260,93
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Total children,Mid-year moves,With one or more mid-year moves during the year,3090,7
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Any moves,Total children,5160,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Any moves,With no moves during the year,4450,86
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Any moves,With one or more moves during the year,710,14
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Mid-year moves,Total children,5160,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Mid-year moves,With no mid-year moves during the year,4710,91
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Voluntary agreements under S20 CA 1989,Mid-year moves,With one or more mid-year moves during the year,440,9
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Any moves,Total children,50,100
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Any moves,With no moves during the year,50,96
2021,Reporting year,National,E92000001,England,CLA on 31 March,First legal status during the year,Youth justice legal statuses,Any moves,With one or more moves during the year,c,c
