time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,activity,number,percentage
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",c,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 17 to 18,Total,67,100
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 17 to 18,"Total in education, employment or training",49,73
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 17 to 18,Total information not known,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 17 to 18,"Total not in education, employment or training",18,27
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,Education other than higher education,c,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,In training or employment,49,31
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",24,15
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",32,21
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",15,10
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,Total,156,100
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,"Total in education, employment or training",84,54
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,Total information not known,1,1
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Aged 19 to 21,"Total not in education, employment or training",71,46
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,Education other than higher education,78,35
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,Higher education i.e. studies beyond A level,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,In training or employment,42,19
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",c,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",86,39
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",c,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,Total,221,100
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,"Total in education, employment or training",120,54
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,Total information not known,4,2
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 17 to 18,"Total not in education, employment or training",97,44
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,Education other than higher education,87,13
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,Higher education i.e. studies beyond A level,34,5
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,In training or employment,164,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",86,13
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",187,29
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",60,9
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,Total,655,100
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,"Total in education, employment or training",285,44
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,Total information not known,37,6
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Aged 19 to 21,"Total not in education, employment or training",333,51
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,Education other than higher education,37,48
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,In training or employment,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",12,16
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,Total,77,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,"Total in education, employment or training",58,75
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,Total information not known,3,4
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 17 to 18,"Total not in education, employment or training",16,21
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,Education other than higher education,32,15
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,Higher education i.e. studies beyond A level,21,10
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,In training or employment,47,22
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",26,12
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",47,22
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",21,10
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,Total,212,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,"Total in education, employment or training",100,47
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,Total information not known,18,8
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Aged 19 to 21,"Total not in education, employment or training",94,44
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,Education other than higher education,25,63
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,In training or employment,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,Total,40,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,"Total in education, employment or training",37,93
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,Total information not known,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 17 to 18,"Total not in education, employment or training",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,Education other than higher education,26,21
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,Higher education i.e. studies beyond A level,12,10
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,In training or employment,42,34
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",13,11
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",15,12
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",13,11
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,Total,122,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,"Total in education, employment or training",80,66
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,Total information not known,1,1
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Aged 19 to 21,"Total not in education, employment or training",41,34
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,Education other than higher education,23,46
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,In training or employment,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",9,18
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,Total,50,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,"Total in education, employment or training",37,74
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,Total information not known,2,4
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 17 to 18,"Total not in education, employment or training",11,22
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,Education other than higher education,22,24
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,In training or employment,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",8,9
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",25,28
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",11,12
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,Total,90,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,"Total in education, employment or training",45,50
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,Total information not known,1,1
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Aged 19 to 21,"Total not in education, employment or training",44,49
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,Education other than higher education,26,84
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,In training or employment,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,Total,31,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,"Total in education, employment or training",29,94
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,Total information not known,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 17 to 18,"Total not in education, employment or training",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,Education other than higher education,30,34
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,In training or employment,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",19,21
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,Total,89,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,"Total in education, employment or training",59,66
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,Total information not known,2,2
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Aged 19 to 21,"Total not in education, employment or training",28,31
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,Education other than higher education,18,67
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,In training or employment,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,Total,27,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,"Total in education, employment or training",22,81
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,Total information not known,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 17 to 18,"Total not in education, employment or training",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,Education other than higher education,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,In training or employment,29,35
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",10,12
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,"Not in education, training or employment, owing to other reasons",15,18
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,"Not in education, training or employment, owing to pregnancy or parenting",9,11
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,Total,82,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,"Total in education, employment or training",48,59
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,Total information not known,0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Aged 19 to 21,"Total not in education, employment or training",34,41
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,Education other than higher education,10,42
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,Higher education i.e. studies beyond A level,0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,In training or employment,11,46
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,"Not in education, training or employment, owing to illness or disability",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,"Not in education, training or employment, owing to other reasons",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,"Not in education, training or employment, owing to pregnancy or parenting",0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,Total,24,100
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,"Total in education, employment or training",21,88
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,Total information not known,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 17 to 18,"Total not in education, employment or training",c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 19 to 21,Education other than higher education,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 19 to 21,Higher education i.e. studies beyond A level,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 19 to 21,In an apprenticeship,z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 19 to 21,In training or employment,26,39
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 19 to 21,In training or employment (excl. apprenticeship),z,z
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Aged 19 to 21,"Not in education, training or employment, owing to illness or disability",c,c
