time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks2_reading_number_eligible,cla_ks2_reading_number_achieving,cla_ks2_reading_%,cla_ks2_writing_number_eligible,cla_ks2_writing_number_achieving,cla_ks2_writing_%,cla_ks2_mathematics_number_eligible,cla_ks2_mathematics_number_achieving,cla_ks2_mathematics_%,cla_ks2_gps_number_eligible,cla_ks2_gps_number_achieving,cla_ks2_gps_%,cla_ks2_rmw_number_eligible,cla_ks2_rmw_number_achieving,cla_ks2_rmw_%,cla_ks2_reading_progress_eligible,cla_ks2_reading_progress_total_score,cla_ks2_reading_average_progress_score,cla_ks2_writing_progress_eligible,cla_ks2_writing_progress_total_score,cla_ks2_writing_average_progress_score,cla_ks2_mathematics_progress_eligible,cla_ks2_mathematics_progress_total_score,cla_ks2_mathematics_average_progress_score
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,KS2,28,15,54,28,14,50,28,12,43,28,17,61,28,8,29,27,-7.6,-0.3,27,-15.5,-0.6,26,1.2,0
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,KS2,52,28,54,52,29,56,52,30,58,52,33,63,52,20,38,49,28.2,0.6,49,35.3,0.7,49,47.1,1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,KS2,34,21,62,34,19,56,34,19,56,34,22,65,34,15,44,31,48.4,1.6,32,-5,-0.2,31,11.6,0.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,KS2,19,10,53,19,9,47,19,10,53,19,10,53,19,8,42,19,24.3,1.3,19,0.5,0,18,-1.4,-0.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,KS2,12,c,c,12,c,c,12,c,c,12,c,c,12,c,c,12,9.8,0.8,12,-51.2,-4.3,12,-17.8,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,KS2,6,c,c,6,c,c,6,c,c,6,c,c,6,c,c,6,4.6,0.8,6,-12.1,-2,6,4.5,0.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,10,-7.7,-0.8,10,-0.2,0,10,-0.8,-0.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,KS2,29,11,38,29,13,45,29,11,38,29,11,38,29,7,24,26,-4.1,-0.2,27,10.8,0.4,26,-24.9,-1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,KS2,9,c,c,9,c,c,9,c,c,9,c,c,9,c,c,8,-54.8,-6.8,8,-46.2,-5.8,8,-65.8,-8.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,KS2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,KS2,21,c,c,21,13,62,21,c,c,21,15,71,21,13,62,21,62.8,3,21,56.8,2.7,21,61.9,2.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,KS2,27,11,41,27,9,33,27,10,37,27,10,37,27,c,c,26,-40,-1.5,26,-51,-2,25,-61.6,-2.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,KS2,15,6,40,15,8,53,15,c,c,15,8,53,15,c,c,14,-12.8,-0.9,14,-6.1,-0.4,14,-21.7,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,KS2,16,6,38,16,c,c,16,c,c,16,6,38,16,c,c,16,-37,-2.3,16,-45.8,-2.9,16,-47.2,-3
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,KS2,34,21,62,34,16,47,34,15,44,34,14,41,34,11,32,30,-16.1,-0.5,31,-63.3,-2,29,-30.6,-1.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,KS2,10,c,c,10,c,c,10,c,c,10,c,c,10,c,c,10,40.5,4,10,-9.1,-0.9,10,35.3,3.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,KS2,12,c,c,12,c,c,12,c,c,12,c,c,12,6,50,11,-5.3,-0.5,11,1.9,0.2,11,23.9,2.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,KS2,18,9,50,18,7,39,18,8,44,18,11,61,18,c,c,17,11.6,0.7,18,-27.7,-1.5,17,20.3,1.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,KS2,43,18,42,43,17,40,43,15,35,43,19,44,43,11,26,40,-29.7,-0.7,40,-47.7,-1.2,40,-58.5,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,KS2,70,34,49,69,33,48,70,27,39,70,27,39,69,24,35,62,-43.2,-0.7,65,-65.6,-1,62,-110.5,-1.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,KS2,14,7,50,14,6,43,14,8,57,14,c,c,14,c,c,13,-8.9,-0.7,13,-28.8,-2.2,13,-6.9,-0.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,KS2,94,48,51,94,46,49,94,46,49,94,46,49,94,37,39,88,-4.2,0,90,-149.2,-1.7,87,-40,-0.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,KS2,12,c,c,12,6,50,12,6,50,12,6,50,12,c,c,9,-51,-5.7,9,-42.8,-4.8,9,-48.7,-5.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,KS2,26,12,46,26,17,65,26,16,62,26,14,54,26,11,42,26,-35.9,-1.4,26,16.7,0.6,26,22.8,0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,KS2,32,15,47,32,12,38,32,12,38,32,12,38,32,9,28,30,-23.4,-0.8,30,-5.9,-0.2,30,-57.7,-1.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,KS2,33,21,64,33,18,55,33,17,52,33,19,58,33,15,45,28,5.9,0.2,28,-28.2,-1,28,-25.7,-0.9
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,KS2,10,c,c,10,c,c,10,c,c,10,c,c,10,c,c,8,26,3.3,9,7.4,0.8,8,6.5,0.8
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,KS2,15,8,53,15,9,60,15,9,60,15,7,47,15,7,47,14,25.9,1.9,14,14.8,1.1,14,10,0.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,KS2,20,9,45,20,9,45,20,8,40,20,7,35,20,c,c,18,-19.1,-1.1,18,-32.2,-1.8,17,-12.7,-0.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,KS2,23,15,65,23,12,52,23,12,52,23,13,57,23,10,43,23,75.7,3.3,23,29.7,1.3,23,-36.6,-1.6
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,KS2,14,c,c,14,c,c,14,c,c,14,c,c,14,c,c,14,4.5,0.3,14,4.3,0.3,14,-48.2,-3.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,KS2,30,17,57,30,14,47,30,14,47,30,15,50,30,10,33,28,36,1.3,29,-20.4,-0.7,28,-0.1,0
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,KS2,31,15,48,31,11,35,31,14,45,31,14,45,31,7,23,29,23,0.8,29,-13.5,-0.5,29,19.6,0.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,KS2,42,26,62,42,24,57,42,22,52,42,23,55,42,17,40,39,-6.2,-0.2,41,-42.9,-1,39,-94.3,-2.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,KS2,11,c,c,11,c,c,11,c,c,11,c,c,11,c,c,8,-6,-0.7,8,-26.1,-3.3,8,-41.9,-5.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,KS2,30,8,27,30,7,23,30,7,23,30,8,27,30,c,c,30,-100.1,-3.3,30,-89,-3,29,-100.8,-3.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,KS2,39,17,44,39,18,46,39,15,38,39,16,41,39,12,31,34,-33.1,-1,35,-33.7,-1,34,-90.5,-2.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,KS2,47,22,47,46,20,43,47,21,45,47,20,43,46,15,33,41,-71.6,-1.7,44,-55.7,-1.3,41,-89.2,-2.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,KS2,10,c,c,10,c,c,10,c,c,10,c,c,10,c,c,8,-31.5,-3.9,9,-31.1,-3.5,8,-35.3,-4.4
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,KS2,18,8,44,18,8,44,18,11,61,18,8,44,18,7,39,16,25,1.6,17,-11,-0.6,16,20,1.2
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,KS2,16,7,44,16,7,44,16,c,c,16,7,44,16,c,c,14,-9.4,-0.7,15,-5.8,-0.4,14,-42.8,-3.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,KS2,34,11,32,33,12,36,34,13,38,34,11,32,33,9,27,28,-73.2,-2.6,29,-60.6,-2.1,28,-49,-1.7
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,KS2,39,21,54,38,19,50,39,14,36,39,17,44,38,11,29,35,-9.2,-0.3,36,-16.8,-0.5,35,-74.9,-2.1
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,KS2,32,17,53,32,18,56,32,18,56,32,16,50,32,13,41,32,24.8,0.8,32,15,0.5,32,-46.8,-1.5
2017/18,year ending 31 march 2018,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,KS2,16,7,44,16,9,56,16,c,c,16,7,44,16,c,c,13,-26.8,-2.1,14,-24.5,-1.8,13,-32.2,-2.5
