URN,Provision type,Ofsted Region,Government Office Region,Local authority,Parliamentary constituency,Sector,Places,First effective date (that the provider became active),First effective date (that the provider became resigned),First effective date (that the provider closed),First effective date (that the provider became cancelled),Flag for appealed,Joiner status,Leaver status,Registration status (as at @startdate),Registration status (as at @enddate),Inspectorate (as at @startdate),Inspectorate (as at @enddate),Name
1263129,Children's home,South East,South East,East Sussex,Lewes,Private,5,06/11/2017,,,,???,Joiner,,,Active,,Ofsted,REDACTED
1263199,Children's home,North West,North West,Wigan,Leigh,Private,6,28/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263201,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Rother Valley,Private,4,04/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263248,Children's home,North West,North West,St Helens,St Helens South and Whiston,Private,3,22/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1263270,Children's home,South West,South West,Cornwall,South East Cornwall,Private,5,18/08/2017,,,,???,Joiner,,,Active,,,REDACTED
1263329,Children's home,West Midlands,West Midlands,Staffordshire,South Staffordshire,Private,1,13/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263370,Residential Holiday Scheme for Disabled Children,London,London,Barnet,Finchley and Golders Green,Voluntary,,07/08/2017,,,,???,Joiner,,,Active,,,Kef
1263501,Independent Fostering Agency,South East,South East,Medway,Gillingham and Rainham,Private,,12/09/2017,,,,???,Joiner,,,Active,,,Isp Rainham
1263505,Children's home,East Midlands,East Midlands,Leicestershire,Harborough,Private,4,31/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1263567,Residential Special School,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Lincolnshire,Brigg and Goole,Private,41,31/03/2017,,,,???,Joiner,,,Active,,Ofsted,Demeter House
1263571,Children's home,South West,South West,Gloucestershire,Tewkesbury,Private,5,17/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1263623,Children's home,South West,South West,North Somerset,Weston-Super-Mare,Private,3,18/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1263625,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,York,York Central,Local Authority,1,24/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1263673,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Halifax,Private,3,18/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263675,Independent Fostering Agency,London,London,Southwark,Bermondsey and Old Southwark,Voluntary,,18/10/2017,,,,???,Joiner,,,Active,,,Childhood First
1263766,Children's home,North West,North West,Tameside,Denton and Reddish,Local Authority,3,23/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1263768,Children's home,North West,North West,Tameside,Ashton-under-Lyne,Local Authority,3,23/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1263773,Children's home,East Midlands,East Midlands,Leicestershire,Bosworth,Private,4,01/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1263776,Children's home,East of England,East of England,Norfolk,Broadland,Private,1,04/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1263837,Children's home,East Midlands,East Midlands,Derby,Mid Derbyshire,Private,2,04/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1263977,Children's home,West Midlands,West Midlands,Walsall,Walsall South,Private,8,06/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1264016,Children's home,London,London,Waltham Forest,Chingford and Woodford Green,Private,6,07/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1264048,Children's home,London,London,Brent,Brent North,Private,4,12/09/2017,,,,???,Joiner,,,Active,,,REDACTED
1264282,Children's home,South East,South East,Hampshire,Romsey and Southampton North,Private,2,31/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1264286,Children's home,East of England,East of England,Bedford,Bedford,Private,3,30/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1264335,Independent Fostering Agency,West Midlands,West Midlands,Worcestershire,West Worcestershire,Private,,22/12/2017,,,,???,Joiner,,,Active,,,Foundation Fostering
1264438,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Don Valley,Private,4,13/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1264537,Children's home,North West,North West,Wigan,Wigan,Private,5,29/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1264538,Children's home,North West,North West,Lancashire,South Ribble,Private,3,17/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1264592,Boarding School,South East,South East,East Sussex,Wealden,Private,15,01/09/2017,,,,???,Joiner,,,Active,,Ofsted,The Montessori Place
1264696,Children's home,North West,North West,Oldham,Oldham West and Royton,Private,2,12/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1264707,Voluntary Adoption Agency,West Midlands,West Midlands,Sandwell,West Bromwich West,Voluntary,,07/03/2018,,,,???,Joiner,,,Active,,,Sandwell Children's Social Care Trust
1264756,Children's home,South West,South West,Devon,Tiverton and Honiton,Private,2,21/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1264840,Children's home,West Midlands,West Midlands,Coventry,Coventry South,Private,3,04/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1264841,Children's home,London,London,Bexley,Old Bexley and Sidcup,Voluntary,10,18/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1265010,Independent Fostering Agency,London,London,Lewisham,"Lewisham, Deptford",Private,,14/12/2017,,,,???,Joiner,,,Active,,,Holistic Fostering Ltd
1265092,Children's home,North West,North West,Bolton,Bolton North East,Private,7,03/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1265128,Children's home,North West,North West,Lancashire,Fylde,Private,2,14/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1266835,Children's home,South West,South West,Bath and North East Somerset,Bath,Voluntary,5,25/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1266836,Residential Special School,South East,South East,Oxfordshire,Banbury,Private,45,01/08/2017,,,,???,Joiner,,,Active,,Ofsted,Swalcliffe Park School
1266838,Children's home,North West,North West,Cumbria,Penrith and The Border,Private,3,22/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1267025,Boarding School,West Midlands,West Midlands,Wolverhampton,Wolverhampton South East,Academy,129,02/09/2016,,,,???,Joiner,,,Active,,ISI,The Royal School Wolverhampton
1267134,Boarding School,West Midlands,West Midlands,Coventry,Coventry South,Private,25,14/09/2017,,,,???,Joiner,,,Active,,Ofsted,The National Mathematics and Science College
1267240,Residential Special School,South East,South East,Wokingham,Wokingham,Academy,8,11/09/2017,,,,???,Joiner,,,Active,,Unknown,Northern House School (Wokingham)
1267324,Independent Fostering Agency,West Midlands,West Midlands,Sandwell,West Bromwich West,Voluntary,,07/03/2018,,,,???,Joiner,,,Active,,,Sandwell Children's Social Care Trust
1267413,Children's home,East of England,East of England,Essex,Clacton,Private,5,07/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1267532,Boarding School,West Midlands,West Midlands,Sandwell,West Bromwich East,Private,40,15/11/2017,,,,???,Joiner,,,Active,,Ofsted,The British Muslim School
1267537,Children's home,East Midlands,East Midlands,Derbyshire,Erewash,Private,3,11/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1267650,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Wansbeck,Private,3,08/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1268051,Children's home,East of England,East of England,Essex,Castle Point,Private,7,13/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1268334,Children's home,"North East, Yorkshire and the Humber",North East,South Tyneside,South Shields,Local Authority,4,11/10/2017,,,,???,Joiner,,,Active,,,REDACTED
1268518,Children's home,South West,South West,Plymouth,"Plymouth, Sutton and Devonport",Private,2,30/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1268530,Children's home,East Midlands,East Midlands,Northamptonshire,South Northamptonshire,Private,3,06/12/2017,,,,???,Joiner,,,Active,,,REDACTED
1268532,Further Education College with Residential Accommodation,West Midlands,West Midlands,Dudley,Stourbridge,Voluntary,17,02/09/2017,,,,???,Joiner,,,Active,,Unknown,"King Edward VI College, Stourbridge"
1268757,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Doncaster North,Voluntary,1,13/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1268883,Independent Fostering Agency,London,London,Ealing,Ealing North,Private,,21/12/2017,,,,???,Joiner,,,Active,,,Caring Hearts Fostering Ltd
1268928,Independent Fostering Agency,London,London,Lewisham,Lewisham West and Penge,Private,,16/10/2017,,,,???,Joiner,,,Active,,,Diversity Foster Care Ltd
1269072,Children's home,West Midlands,West Midlands,Worcestershire,Mid Worcestershire,Private,3,05/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1269215,Children's home,North West,North West,Cumbria,Westmorland and Lonsdale,Private,4,02/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1269421,Children's home,East Midlands,East Midlands,Derbyshire,North East Derbyshire,Private,3,23/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1269505,Children's home,East of England,East of England,Central Bedfordshire,South West Bedfordshire,Private,4,20/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1269565,Children's home,London,London,Hammersmith and Fulham,Hammersmith,Voluntary,4,24/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1269966,Children's home,London,London,Barking and Dagenham,Dagenham and Rainham,Private,5,16/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1270100,Residential Family Centre,South East,South East,West Sussex,Bognor Regis and Littlehampton,Private,5,14/01/2018,,,,???,Joiner,,,Active,,,Ambient House Limited
1270297,Children's home,North West,North West,Bury,Bury North,Private,3,24/11/2017,,,,???,Joiner,,,Active,,,REDACTED
1270301,Children's home,North West,North West,Lancashire,Fylde,Private,3,08/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1270393,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Rother Valley,Private,3,10/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1270501,Children's home,North West,North West,St Helens,St Helens South and Whiston,Private,11,23/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1270503,Children's home,East Midlands,East Midlands,Lincolnshire,Sleaford and North Hykeham,Private,20,27/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1270744,Children's home,South East,South East,East Sussex,Wealden,Private,4,22/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1270767,Children's home,East Midlands,East Midlands,Nottinghamshire,Newark,Private,5,16/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1270802,Children's home,North West,North West,Lancashire,South Ribble,Private,3,22/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1271135,Children's home,North West,North West,Stockport,Cheadle,Local Authority,5,15/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1271222,Children's home,North West,North West,Lancashire,Hyndburn,Private,2,25/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1271375,Children's home,North West,North West,Lancashire,Preston,Private,4,12/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1271379,Residential Special School,South East,South East,Surrey,Reigate,Local Authority,23,04/12/2017,,,,???,Joiner,,,Active,,Unknown,Chart Wood School
1271467,Children's home,South West,South West,Devon,Torridge and West Devon,Private,5,14/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1271666,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Bradford South,Local Authority,4,26/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1271979,Children's home,East of England,East of England,Norfolk,South West Norfolk,Private,3,26/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1272075,Children's home,South West,South West,South Gloucestershire,Filton and Bradley Stoke,Private,4,16/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1272379,Children's home,South East,South East,Hampshire,Meon Valley,Voluntary,5,26/01/2018,,,,???,Joiner,,,Active,,,REDACTED
1272461,Children's home,London,London,Haringey,Hornsey and Wood Green,Private,4,17/02/2018,,,,???,Joiner,,,Active,,,REDACTED
1273485,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Yardley",Voluntary,7,21/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1273493,Voluntary Adoption Agency,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",Voluntary,,19/03/2018,,,,???,Joiner,,,Active,,,Birmingham Children's Trust Adoption Agency
1273497,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",Voluntary,7,20/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1273591,Independent Fostering Agency,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",Voluntary,,19/03/2018,,,,???,Joiner,,,Active,,,Birmingham Children's Trust Fostering Agency
1273658,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",Voluntary,16,20/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1273663,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",Voluntary,12,20/03/2018,,,,???,Joiner,,,Active,,,REDACTED
1276643,Voluntary Adoption Agency,London,London,Haringey,Hornsey and Wood Green,Voluntary,,07/02/2018,,,,???,Joiner,,,Active,,,Adoptionplus
1276943,Voluntary Adoption Agency,,,,,Voluntary,,23/03/2018,,,,???,Joiner,,,Active,,,Families for Children - North Devon
1276946,Voluntary Adoption Agency,South West,South West,Dorset,West Dorset,Voluntary,,23/03/2018,,,,???,Joiner,,,Active,,,Families for Children - Dorset
SC001835,Residential Special School,East Midlands,East Midlands,Leicestershire,Harborough,Academy,23,12/02/2002,27/06/2017,27/06/2017,,???,,Leaver,Active,Resigned,,Unknown,Birkett House
SC003048,Residential Special School,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Sheffield,"Sheffield, Heeley",Local Authority,30,13/02/2002,27/11/2017,27/11/2017,,???,,Leaver,Active,Resigned,,Unknown,Mossbrook Primary School
SC011976,Children's home,South East,South East,Hampshire,North West Hampshire,Voluntary,4,30/07/2002,02/08/2017,02/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC012939,Residential special school (registered as a children's home),East Midlands,East Midlands,Northamptonshire,Daventry,Voluntary,24,01/01/1990,31/08/2017,31/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC014234,Children's home,South East,South East,Brighton and Hove,Hove,Private,7,20/11/1992,16/06/2017,16/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC016732,Children's home,West Midlands,West Midlands,Birmingham,Sutton Coldfield,Voluntary,12,03/05/1989,03/04/2017,03/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC022445,Children's home,North West,North West,St Helens,St Helens South and Whiston,Private,1,26/09/2001,11/09/2017,11/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC022729,Children's home,London,London,Lambeth,Streatham,Private,3,05/02/2002,,25/10/2017,25/10/2017,???,,Leaver,Active,Cancelled,,,REDACTED
SC022775,Children's home,London,London,Lambeth,Streatham,Private,6,01/07/1994,,25/10/2017,25/10/2017,???,,Leaver,Active,Cancelled,,,REDACTED
SC022779,Children's home,London,London,Lambeth,Streatham,Private,3,18/02/2002,,25/10/2017,25/10/2017,???,,Leaver,Active,Cancelled,,,REDACTED
SC024376,Children's home,East of England,East of England,Suffolk,Bury St Edmunds,Voluntary,6,10/03/1971,05/06/2017,05/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC025871,Children's home,London,London,Croydon,Croydon Central,Private,7,14/09/2000,31/12/2017,31/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC027019,Residential Special School,North West,North West,Warrington,Warrington South,Voluntary,51,19/02/2002,06/09/2017,06/09/2017,,???,,Leaver,Active,Resigned,,Unknown,Chaigeley Educational Foundation
SC027252,Children's home,London,London,Merton,Mitcham and Morden,Private,4,06/09/1996,,25/10/2017,25/10/2017,???,,Leaver,Active,Cancelled,,,REDACTED
SC027253,Children's home,London,London,Merton,Mitcham and Morden,Private,4,20/10/1996,,25/10/2017,25/10/2017,???,,Leaver,Active,Cancelled,,,REDACTED
SC027255,Children's home,London,London,Merton,Mitcham and Morden,Private,3,01/07/2001,,25/10/2017,25/10/2017,???,,Leaver,Active,Cancelled,,,REDACTED
SC030998,Independent Fostering Agency,South West,South West,North Somerset,North Somerset,Private,,16/12/2002,01/09/2017,01/09/2017,,???,,Leaver,Active,Resigned,,,Pathway Care (Bristol)
SC031980,Children's home,South West,South West,Bournemouth,Bournemouth East,Local Authority,6,20/10/2003,01/09/2017,01/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC032715,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Washington and Sunderland West,Local Authority,6,23/06/2003,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC032723,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Sunderland Central,Local Authority,7,23/06/2003,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC032725,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Washington and Sunderland West,Local Authority,6,20/06/2003,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC032772,Children's home,North West,North West,Tameside,Denton and Reddish,Local Authority,5,10/09/2003,06/12/2017,06/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC033009,Children's home,South West,South West,Somerset,Bridgwater and West Somerset,Private,2,05/10/2005,08/01/2018,08/01/2018,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC033289,Children's home,West Midlands,West Midlands,Coventry,Coventry North West,Local Authority,8,13/05/2003,01/09/2017,01/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC033441,Children's home,London,London,Kensington and Chelsea,Kensington,Local Authority,7,28/08/2003,30/06/2017,30/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC033486,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Bradford East,Local Authority,6,26/06/2003,25/09/2017,25/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC033662,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",Local Authority,16,13/12/2004,21/03/2018,21/03/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC034004,Independent Fostering Agency,South West,South West,South Gloucestershire,Kingswood,Voluntary,,25/09/2003,20/03/2017,20/03/2017,,???,,Leaver,Active,Resigned,,,The Fostering Foundation
SC034643,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Yardley",Local Authority,7,01/02/2005,21/03/2018,21/03/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC035107,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",Local Authority,7,28/05/2004,21/03/2018,21/03/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC036260,Children's home,East Midlands,East Midlands,Derbyshire,Erewash,Local Authority,5,25/03/2004,26/02/2018,26/02/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC036528,Residential special school (registered as a children's home),South West,South West,Devon,Torridge and West Devon,Private,14,20/02/2004,29/09/2017,29/09/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC036876,Independent Fostering Agency,South East,South East,Kent,Sittingbourne and Sheppey,Private,,30/10/2003,05/01/2018,05/01/2018,,???,,Leaver,Active,Resigned,,Ofsted,Integrated Services Programme
SC037372,Independent Fostering Agency,London,London,Ealing,Ealing Central and Acton,Voluntary,,19/08/2003,20/03/2017,20/03/2017,,???,,Leaver,Active,Resigned,,,The Fostering Foundation
SC037591,Residential Special School,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Newcastle upon Tyne East,Voluntary,51,09/09/2002,05/09/2017,05/09/2017,,???,,Leaver,Active,Resigned,,Unknown,Northern Counties School
SC037923,Children's home,South East,South East,Hampshire,Havant,Local Authority,6,28/11/2003,08/11/2017,08/11/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC038117,Children's home,London,London,Redbridge,Ilford South,Voluntary,4,08/08/2003,16/03/2018,16/03/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC038163,Children's home,London,London,Bexley,Old Bexley and Sidcup,Voluntary,10,01/11/2002,12/06/2017,12/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC038804,Children's home,West Midlands,West Midlands,Dudley,Dudley North,Local Authority,3,22/04/2003,22/02/2018,22/02/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC039215,Children's home,South East,South East,Hampshire,Winchester,Local Authority,6,31/03/2004,08/11/2017,08/11/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC039993,Independent Fostering Agency,London,London,Croydon,Croydon South,Private,,15/04/2004,31/10/2016,31/10/2016,,???,,Leaver,Active,Resigned,,,Focused Fostering Services
SC040533,Residential Special School,South West,South West,Gloucestershire,The Cotswolds,Local Authority,30,26/11/2002,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,Coln House
SC041114,Children's home,West Midlands,West Midlands,Walsall,Aldridge-Brownhills,Private,4,26/02/2003,18/04/2017,18/04/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC041159,Further Education College with Residential Accommodation,West Midlands,West Midlands,Coventry,Coventry South,Private,14,12/12/2002,27/03/2018,27/03/2018,,???,,Leaver,Active,Resigned,,,City College
SC041171,Independent Fostering Agency,West Midlands,West Midlands,Warwickshire,Nuneaton,Voluntary,,17/11/2004,25/04/2017,25/04/2017,,???,,Leaver,Active,Resigned,,,Barnardos Albion Court and Central Midlands Fostering
SC041254,Independent Fostering Agency,West Midlands,West Midlands,Dudley,Halesowen and Rowley Regis,Voluntary,,17/02/2004,27/12/2017,27/12/2017,,???,,Leaver,Active,Resigned,,,Midlands Overnight Short Breaks Service
SC041408,Residential Special School,"North East, Yorkshire and the Humber",North East,Northumberland,Berwick-upon-Tweed,Voluntary,51,19/12/2002,28/01/2018,28/01/2018,,???,,Leaver,Active,Resigned,,Unknown,Nunnykirk Centre for Dyslexia
SC041666,Residential special school (registered as a children's home),East Midlands,East Midlands,Derbyshire,North East Derbyshire,Private,6,10/02/2004,09/02/2018,09/02/2018,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC041918,Residential Special School,North West,North West,Cheshire East,Congleton,Local Authority,18,13/01/2003,,28/02/2018,,???,,Leaver,Active,Closed,,,Buglawton Hall Residential Special School
SC042037,Children's home,North West,North West,Manchester,"Manchester, Gorton",Local Authority,5,02/06/2003,08/03/2017,08/03/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC044058,Children's home,London,London,Newham,West Ham,Local Authority,6,14/10/2003,10/07/2017,10/07/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC044963,Children's home,East of England,East of England,Essex,Chelmsford,Local Authority,16,19/07/2004,27/12/2017,27/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC054030,Children's home,South West,South West,Bath and North East Somerset,Bath,Voluntary,5,04/12/2003,29/09/2017,29/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC055357,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Houghton and Sunderland South,Local Authority,6,12/12/2003,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC056054,Children's home,South East,South East,Hampshire,Fareham,Voluntary,4,19/01/2004,01/03/2018,01/03/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC061045,Children's home,South West,South West,Dorset,West Dorset,Local Authority,4,03/06/2004,02/10/2017,02/10/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC062644,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Houghton and Sunderland South,Local Authority,6,12/10/2004,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC063167,Children's home,West Midlands,West Midlands,Birmingham,"Birmingham, Erdington",Local Authority,5,07/02/2005,10/07/2017,10/07/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC063197,Children's home,North West,North West,Rochdale,Heywood and Middleton,Private,1,30/12/2004,18/05/2017,18/05/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC063404,Independent Fostering Agency,East of England,East of England,Hertfordshire,Hitchin and Harpenden,Private,,18/05/2005,14/06/2017,14/06/2017,,???,,Leaver,Active,Resigned,,,SWAN Fostering
SC065617,Children's home,North West,North West,Rochdale,Heywood and Middleton,Private,1,09/09/2005,15/05/2017,15/05/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC065958,Independent Fostering Agency,London,London,Sutton,Sutton and Cheam,Private,,23/12/2005,31/07/2017,31/07/2017,,???,,Leaver,Active,Resigned,,,Orchids - Fostering For Children LLP
SC066926,Adoption Support Agency,East of England,East of England,Central Bedfordshire,South West Bedfordshire,Private,,08/05/2006,04/02/2018,04/02/2018,,???,,Leaver,Active,Resigned,,,Joan Moore
SC066957,Adoption Support Agency,South East,South East,Oxfordshire,Banbury,Voluntary,,23/06/2006,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,Adoption UK
SC067238,Children's home,North West,North West,Stockport,Hazel Grove,Private,5,12/06/2006,30/06/2017,30/06/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC068223,Children's home,North West,North West,Wigan,Leigh,Private,3,10/10/2006,15/01/2018,15/01/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC069007,Independent Fostering Agency,South East,South East,Kent,Gravesham,Private,,06/03/2007,31/03/2017,31/03/2017,,???,,Leaver,Active,Resigned,,,Fostering Outcomes
SC069221,Children's home,South East,South East,Kent,Gravesham,Private,5,15/01/2007,15/12/2017,15/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC358196,Independent Fostering Agency,London,London,Bromley,Bromley and Chislehurst,Private,,01/02/2008,01/01/2018,01/01/2018,,???,,Leaver,Active,Resigned,,,Kindercare Fostering
SC359808,Children's home,South West,South West,Wiltshire,Chippenham,Voluntary,5,15/03/2007,25/09/2017,25/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC363228,Children's home,North West,North West,Liverpool,Garston and Halewood,Private,2,13/02/2009,09/08/2017,09/08/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC363350,Children's home,South West,South West,Somerset,Bridgwater and West Somerset,Private,4,07/09/2007,31/12/2017,31/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC363395,Children's home,South West,South West,Somerset,Taunton Deane,Private,3,11/09/2007,31/12/2017,31/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC367737,Children's home,South West,South West,Bristol,Bristol East,Private,3,05/03/2008,,15/03/2018,15/03/2018,???,,Leaver,Active,Cancelled,,,REDACTED
SC368329,Children's home,North West,North West,Lancashire,Preston,Private,3,01/04/2008,28/09/2017,28/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC375060,Independent Fostering Agency,East of England,East of England,Cambridgeshire,South Cambridgeshire,Voluntary,,05/06/2008,31/10/2017,31/10/2017,,???,,Leaver,Active,Resigned,,,Scope Fostering Services
SC376676,Children's home,East of England,East of England,Essex,Clacton,Private,4,15/08/2008,18/02/2018,18/02/2018,,???,,Leaver,Active,Resigned,,,REDACTED
SC382159,Children's home,London,London,Greenwich,Erith and Thamesmead,Private,5,01/09/2008,31/07/2017,31/07/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC382807,Children's home,North West,North West,Rochdale,Rochdale,Private,2,07/10/2008,14/06/2017,14/06/2017,,???,,Leaver,Active,Resigned,,Ofsted,REDACTED
SC384687,Children's home,South West,South West,Wiltshire,Chippenham,Voluntary,5,03/12/2008,13/09/2017,13/09/2017,,???,,Leaver,Active,Resigned,,,REDACTED
SC395716,Children's home,London,London,Hounslow,Brentford and Isleworth,Private,3,28/07/2009,14/12/2017,14/12/2017,,???,,Leaver,Active,Resigned,,,REDACTED
