URN,Provision Type,LA,Sector,GOR,Max/Estimated Places
SC041791,Residential Special School,Kent,Local Authority,South East,54
SC024063,Residential Special School,Kent,Voluntary,South East,44
SC024066,Residential Special School,Kent,Voluntary,South East,16
SC035805,Residential Special School,Lancashire,Local Authority,North West,46
SC006452,Residential Special School,Leicester City,Local Authority,East Midlands,10
SC040728,Residential Special School,Liverpool,Local Authority,North West,8
SC041487,Residential Special School,Northumberland,Local Authority,North East,15
SC012026,Residential Special School,Portsmouth,Local Authority,South East,8
SC033014,Residential Special School,Somerset,Private,South West,32
SC022446,Residential Special School,St. Helens,Voluntary,North West,14
SC013883,Residential Special School,Surrey,Local Authority,South East,20
SC013884,Residential Special School,Surrey,Local Authority,South East,22
SC043050,Residential Special School,Worcestershire,Local Authority,West Midlands,37
SC066821,Residential special school (>295 days/year),Cumbria,Private,North West,14
SC065261,Residential special school (>295 days/year),Dorset,Private,South West,60
SC476185,Residential special school (>295 days/year),Lincolnshire,Private,East Midlands,20
SC435322,Residential special school (>295 days/year),Norfolk,Private,East of England,40
SC371073,Residential special school (>295 days/year),Poole,Voluntary,South West,18
SC423753,Residential special school (>295 days/year),Sheffield,Voluntary,Yorkshire and The Humber,5
SC463641,Residential special school (>295 days/year),Somerset,Private,South West,17
SC401685,Residential special school (>295 days/year),Staffordshire,Private,West Midlands,23
SC386048,Voluntary Adoption Agency,Barnet,Voluntary,London,0
SC445207,Voluntary Adoption Agency,Birmingham,Voluntary,West Midlands,0
SC381260,Voluntary Adoption Agency,Leicestershire,Voluntary,East Midlands,0
SC049430,Children's Home,Leicestershire,Private,East Midlands,3
SC050176,Children's Home,Leicestershire,Private,East Midlands,3
SC362233,Children's Home,Leicestershire,Private,East Midlands,3
SC436372,Children's Home,Leicestershire,Private,East Midlands,6
SC367454,Children's Home,Lincolnshire,Private,East Midlands,3
SC062674,Children's Home,Liverpool,Private,North West,4
SC031015,Children's Home,Manchester,Local Authority,North West,6
SC387672,Children's Home,Manchester,Private,North West,5
SC437948,Children's Home,Medway Towns,Voluntary,South East,4
SC401547,Children's Home,Newcastle,Private,North East,5
SC403472,Children's Home,Newcastle,Private,North East,5
SC025700,Children's Home,Norfolk,Voluntary,East of England,8
SC060034,Children's Home,Norfolk,Voluntary,East of England,6
SC033127,Children's Home,North East Lincolnshire,Local Authority,Yorkshire and The Humber,11
SC441553,Children's Home,North East Lincolnshire,Local Authority,Yorkshire and The Humber,5
SC465279,Children's Home,Northamptonshire,Health Authority,East Midlands,6
SC397562,Children's Home,Northamptonshire,Private,East Midlands,5
SC424280,Children's Home,Nottingham City,Local Authority,East Midlands,2
SC029504,Children's Home,Nottingham City,Private,East Midlands,4
SC436818,Children's Home,Nottingham City,Private,East Midlands,3
SC036726,Children's Home,Nottinghamshire,Local Authority,East Midlands,12
SC036732,Children's Home,Nottinghamshire,Local Authority,East Midlands,8
SC406063,Children's Home,Nottinghamshire,Private,East Midlands,5
SC413078,Children's Home,Nottinghamshire,Private,East Midlands,2
SC064515,Children's Home,Oldham,Local Authority,North West,4
SC068277,Children's Home,Oldham,Private,North West,6
SC457506,Children's Home,Oldham,Private,North West,2
SC060327,Children's Home,Oxfordshire,Voluntary,South East,5
SC053529,Children's Home,Peterborough,Private,East of England,5
SC064182,Children's Home,Redbridge,Private,London,6
SC063054,Children's Home,Rochdale,Private,North West,1
SC063197,Children's Home,Rochdale,Private,North West,1
SC456409,Children's Home,Rochdale,Private,North West,1
SC456605,Children's Home,Rochdale,Private,North West,2
SC456857,Children's Home,Rochdale,Private,North West,1
SC375540,Children's Home,Rotherham,Local Authority,Yorkshire and The Humber,6
SC040466,Children's Home,Salford,Local Authority,North West,4
SC425999,Children's Home,Sandwell,Private,West Midlands,6
SC481235,Children's Home,Sandwell,Private,West Midlands,3
SC040785,Children's Home,Sefton,Private,North West,2
SC472114,Children's Home,Sefton,Private,North West,2
SC035998,Children's Home,Sheffield,Local Authority,Yorkshire and The Humber,5
SC036009,Children's Home,Sheffield,Local Authority,Yorkshire and The Humber,6
SC425519,Children's Home,Shropshire,Private,West Midlands,3
SC358206,Children's Home,Somerset,Local Authority,South West,3
SC408867,Children's Home,Somerset,Local Authority,South West,4
SC367637,Children's Home,Somerset,Private,South West,9
SC454985,Children's Home,Somerset,Private,South West,3
SC393228,Children's Home,Gloucestershire,Private,South West,4
SC039559,Children's Home,Halton,Local Authority,North West,4
SC457181,Children's Home,Halton,Private,North West,1
SC443337,Children's Home,Hammersmith & Fulham,Local Authority,London,7
SC482293,Children's Home,Hampshire,Private,South East,6
SC429762,Children's Home,Hartlepool,Private,North East,10
SC059782,Children's Home,Havering,Private,London,6
SC422231,Children's Home,Hertfordshire,Local Authority,East of England,3
SC037282,Children's Home,Kent,Local Authority,South East,7
SC023741,Children's Home,Kent,Private,South East,3
SC390167,Children's Home,Kent,Private,South East,2
SC405772,Children's Home,Kent,Private,South East,3
SC454294,Children's Home,Kent,Voluntary,South East,4
SC064050,Children's Home,Kirklees,Private,Yorkshire and The Humber,4
SC037647,Children's Home,Knowsley,Local Authority,North West,4
SC410537,Children's Home,Birmingham,Private,West Midlands,3
SC463639,Children's Home,Birmingham,Private,West Midlands,4
SC065313,Children's Home,Blackpool,Private,North West,3
SC415710,Children's Home,Blackpool,Private,North West,3
SC033486,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,8
SC033628,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,6
SC472977,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,11
SC429011,Children's Home,Buckinghamshire,Private,South East,3
SC410156,Children's Home,Cambridgeshire,Private,East of England,3
SC475944,Children's Home,Cambridgeshire,Private,East of England,4
SC025695,Children's Home,Camden,Voluntary,London,8
SC394224,Children's Home,Cheshire East,Local Authority,North West,4
SC419808,Children's Home,Cheshire West and Chester,Private,North West,4
SC481295,Children's Home,Cheshire West and Chester,Private,North West,5
SC059955,Children's Home,Cornwall,Local Authority,South West,2
SC359203,Children's Home,Coventry,Private,West Midlands,8
SC061810,Children's Home,Cumbria,Local Authority,North West,6
SC386003,Children's Home,Cumbria,Private,North West,4
SC392602,Children's Home,Cumbria,Private,North West,3
SC441978,Children's Home,Cumbria,Private,North West,5
SC036019,Children's Home,"Derby, City of",Local Authority,East Midlands,15
SC036243,Children's Home,"Derby, City of",Local Authority,East Midlands,6
SC360833,Children's Home,"Derby, City of",Private,East Midlands,6
SC476990,Children's Home,Derbyshire,Private,East Midlands,7
SC427338,Children's Home,Doncaster,Private,Yorkshire and The Humber,2
SC032250,Children's Home,Dorset,Local Authority,South West,5
SC061045,Children's Home,Dorset,Local Authority,South West,4
SC038500,Children's Home,Dudley,Local Authority,West Midlands,4
SC035247,Children's Home,Durham,Local Authority,North East,7
SC007608,Children's Home,Durham,Private,North East,3
SC068392,Children's Home,Ealing,Private,London,4
SC464532,Children's Home,Ealing,Private,London,3
SC067254,Children's Home,East Riding of Yorkshire,Private,Yorkshire and The Humber,8
SC064011,Children's Home,East Sussex,Private,South East,3
SC384018,Children's Home,Essex,Private,East of England,4
SC036774,Children's Home,Gateshead,Local Authority,North East,5
SC037910,Children's Home,Hampshire,Local Authority,South East,5
SC037923,Children's Home,Hampshire,Local Authority,South East,6
SC066926,Adoption Support Agency,Central Bedfordshire,Private,East of England,0
SC359792,Adoption Support Agency,Haringey,Private,London,0
SC418586,Adoption Support Agency,Leicester City,Voluntary,East Midlands,0
SC068698,Adoption Support Agency,Surrey,Private,South East,0
SC050866,Boarding School,Bradford,Private,Yorkshire and The Humber,176
SC040074,Boarding School,Cumbria,Academy,North West,126
SC042055,Boarding School,Dudley,Local Authority,West Midlands,475
SC006329,Boarding School,Leicester City,Voluntary,East Midlands,50
SC013933,Boarding School,Surrey,Local Authority,South East,460
SC472610,Boarding School,South Gloucestershire,Private,South West,128
SC067865,Children's Home,Barnsley,Private,Yorkshire and The Humber,3
SC054030,Children's Home,Bath & NE Somerset,Voluntary,South West,5
SC429369,Children's Home,Bedford Borough,Private,East of England,4
SC033699,Children's Home,Birmingham,Local Authority,West Midlands,5
SC038066,Children's Home,Birmingham,Private,West Midlands,3
SC065378,Children's Home,Birmingham,Private,West Midlands,3
SC066183,Children's Home,Birmingham,Private,West Midlands,3
SC447742,Children's Home,Birmingham,Private,West Midlands,3
SC402508,Children's Home,Blackburn,Local Authority,North West,5
SC059842,Children's Home,Bolton,Local Authority,North West,5
SC031980,Children's Home,Bournemouth,Local Authority,South West,6
SC033597,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,6
SC458677,Children's Home,Brent,Private,London,3
SC061232,Children's Home,Bristol City,Local Authority,South West,5
SC032058,Children's Home,Buckinghamshire,Local Authority,South East,6
SC443658,Children's Home,Bury,Private,North West,7
SC064557,Children's Home,Cambridgeshire,Private,East of England,6
SC439153,Children's Home,Cambridgeshire,Voluntary,East of England,4
SC456417,Children's Home,Cheshire West and Chester,Private,North West,4
SC037861,Children's Home,Darlington,Local Authority,North East,3
SC000820,Children's Home,Darlington,Private,North East,5
SC061439,Children's Home,Darlington,Private,North East,5
SC470408,Children's Home,"Derby, City of",Private,East Midlands,7
SC003897,Children's Home,Devon,Private,South West,1
SC360834,Children's Home,Devon,Private,South West,4
SC457266,Children's Home,Devon,Private,South West,3
SC032107,Children's Home,Doncaster,Local Authority,Yorkshire and The Humber,6
SC035687,Children's Home,Doncaster,Private,Yorkshire and The Humber,40
SC390293,Children's Home,Doncaster,Private,Yorkshire and The Humber,3
SC481464,Children's Home,Doncaster,Private,Yorkshire and The Humber,5
SC043539,Children's Home,Dudley,Local Authority,West Midlands,6
SC035105,Children's Home,Durham,Local Authority,North East,4
SC035235,Children's Home,Durham,Local Authority,North East,3
SC032253,Children's Home,Ealing,Local Authority,London,6
SC459643,Children's Home,East Riding of Yorkshire,Private,Yorkshire and The Humber,1
SC031410,Children's Home,East Sussex,Local Authority,South East,7
SC068929,Children's Home,Essex,Local Authority,East of England,8
SC405985,Children's Home,Essex,Private,East of England,3
SC067034,Adoption Support Agency,Bristol City,Voluntary,South West,0
SC463447,Adoption Support Agency,Buckinghamshire,Private,South East,0
SC066944,Adoption Support Agency,Durham,Voluntary,North East,0
SC457213,Adoption Support Agency,Enfield,Private,London,0
SC411743,Adoption Support Agency,Salford,Voluntary,North West,0
SC470742,Adoption Support Agency,Staffordshire,Private,West Midlands,0
SC391729,Adoption Support Agency,West Sussex,Private,South East,0
SC018009,Boarding School,Essex,Academy,East of England,30
SC042065,Boarding School,Isles of Scilly,Local Authority,South West,16
SC060354,Boarding School,Kent,Academy,South East,222
SC041298,Boarding School,Kirklees,Voluntary,Yorkshire and The Humber,139
SC060705,Boarding School,Lincolnshire,Academy,East Midlands,78
SC039847,Boarding School,Somerset,Academy,South West,312
SC363274,Boarding School,Suffolk,Private,East of England,100
SC013945,Boarding School,Surrey,Private,South East,190
SC043039,Boarding School,Worcestershire,Voluntary,West Midlands,200
SC037248,Children's Home,Barking & Dagenham,Private,London,6
SC423959,Children's Home,Barking & Dagenham,Private,London,5
SC018238,Children's Home,Barnsley,Private,Yorkshire and The Humber,1
SC401239,Children's Home,Barnsley,Private,Yorkshire and The Humber,3
SC422415,Children's Home,Bedford Borough,Voluntary,East of England,1
SC065855,Children's Home,Birmingham,Private,West Midlands,3
SC419217,Children's Home,Birmingham,Private,West Midlands,4
SC360599,Children's Home,Blackburn,Local Authority,North West,4
SC040719,Children's Home,Bolton,Local Authority,North West,3
SC035459,Children's Home,Lancashire,Local Authority,North West,6
SC055153,Children's Home,Lancashire,Private,North West,3
SC063103,Children's Home,Lancashire,Private,North West,5
SC064500,Children's Home,Lancashire,Private,North West,3
SC464809,Children's Home,Lancashire,Private,North West,5
SC470224,Children's Home,Lancashire,Private,North West,10
SC475715,Children's Home,Lancashire,Private,North West,7
SC033723,Children's Home,Leeds,Local Authority,Yorkshire and The Humber,5
SC406505,Children's Home,Leeds,Local Authority,Yorkshire and The Humber,12
SC411297,Children's Home,Leicestershire,Private,East Midlands,4
SC434806,Children's Home,Leicestershire,Private,East Midlands,3
SC410910,Children's Home,Lincolnshire,Private,East Midlands,4
SC061678,Children's Home,Liverpool,Private,North West,4
SC425921,Children's Home,Luton,Voluntary,East of England,6
SC021684,Children's Home,Manchester,Private,North West,6
SC064666,Children's Home,Manchester,Private,North West,2
SC038070,Children's Home,Medway Towns,Local Authority,South East,8
SC027253,Children's Home,Merton,Private,London,4
SC033840,Children's Home,Middlesbrough,Local Authority,North East,9
SC044485,Children's Home,Newcastle,Local Authority,North East,7
SC065541,Children's Home,Norfolk,Private,East of England,4
SC370949,Children's Home,Norfolk,Private,East of England,3
SC379357,Children's Home,Norfolk,Private,East of England,3
SC405379,Children's Home,Norfolk,Private,East of England,8
SC422346,Children's Home,Norfolk,Private,East of England,4
SC477428,Children's Home,North East Lincolnshire,Local Authority,Yorkshire and The Humber,3
SC034235,Children's Home,North Yorkshire,Local Authority,Yorkshire and The Humber,6
SC066552,Children's Home,North Yorkshire,Private,Yorkshire and The Humber,4
SC457435,Children's Home,North Yorkshire,Private,Yorkshire and The Humber,2
SC429168,Children's Home,Northumberland,Private,North East,5
SC000673,Children's Home,Northumberland,Voluntary,North East,10
SC443544,Children's Home,Nottingham City,Private,East Midlands,3
SC438247,Children's Home,Nottinghamshire,Private,East Midlands,3
SC460790,Children's Home,Nottinghamshire,Voluntary,East Midlands,3
SC060545,Children's Home,Newham,Private,London,8
SC451152,Children's Home,Norfolk,Private,East of England,4
SC470585,Children's Home,Norfolk,Private,East of England,6
SC058750,Children's Home,North East Lincolnshire,Local Authority,Yorkshire and The Humber,4
SC394101,Children's Home,North East Lincolnshire,Local Authority,Yorkshire and The Humber,4
SC038557,Children's Home,North Tyneside,Local Authority,North East,5
SC359275,Children's Home,North Tyneside,Local Authority,North East,4
SC034220,Children's Home,North Yorkshire,Local Authority,Yorkshire and The Humber,7
SC036737,Children's Home,Nottinghamshire,Local Authority,East Midlands,16
SC044291,Children's Home,Nottinghamshire,Local Authority,East Midlands,3
SC044692,Children's Home,Nottinghamshire,Local Authority,East Midlands,4
SC063895,Children's Home,Nottinghamshire,Private,East Midlands,4
SC482295,Children's Home,Oxfordshire,Private,South East,6
SC471058,Children's Home,Plymouth,Private,South West,1
SC037330,Children's Home,Portsmouth,Local Authority,South East,6
SC037481,Children's Home,Reading,Local Authority,South East,7
SC434837,Children's Home,Reading,Private,South East,3
SC378407,Children's Home,Rochdale,Private,North West,1
SC456850,Children's Home,Rochdale,Private,North West,1
SC479654,Children's Home,Rochdale,Private,North West,6
SC040511,Children's Home,Salford,Local Authority,North West,5
SC064858,Children's Home,Salford,Local Authority,North West,4
SC036304,Children's Home,Sefton,Local Authority,North West,4
SC428700,Children's Home,Sheffield,Private,Yorkshire and The Humber,3
SC020608,Children's Home,Shropshire,Private,West Midlands,3
SC460973,Children's Home,Shropshire,Private,West Midlands,3
SC434174,Children's Home,Somerset,Local Authority,South West,4
SC457327,Children's Home,Somerset,Private,South West,3
SC476944,Children's Home,Somerset,Private,South West,2
SC045096,Children's Home,Somerset,Voluntary,South West,4
SC451511,Children's Home,Southampton,Private,South East,7
SC022445,Children's Home,St. Helens,Private,North West,1
SC068206,Children's Home,St. Helens,Private,North West,1
SC035690,Children's Home,Staffordshire,Private,West Midlands,4
SC066912,Children's Home,Staffordshire,Private,West Midlands,2
SC447645,Children's Home,Staffordshire,Private,West Midlands,3
SC469686,Children's Home,Staffordshire,Private,West Midlands,3
SC008484,Children's Home,Stockport,Private,North West,6
SC008488,Children's Home,Stockport,Private,North West,8
SC032565,Children's Home,Stoke on Trent,Local Authority,West Midlands,6
SC427652,Children's Home,Suffolk,Private,East of England,4
SC032725,Children's Home,Sunderland,Local Authority,North East,6
SC040628,Children's Home,Surrey,Local Authority,South East,8
SC040631,Children's Home,Surrey,Local Authority,South East,8
SC013553,Children's Home,Surrey,Private,South East,9
SC013743,Children's Home,Surrey,Voluntary,South East,19
SC357979,Children's Home,Tameside,Local Authority,North West,3
SC069176,Children's Home,Tameside,Private,North West,4
SC036888,Independent Fostering Agency,Bromley,Private,London,0
SC375060,Independent Fostering Agency,Cambridgeshire,Voluntary,East of England,0
SC386669,Independent Fostering Agency,Croydon,Private,London,0
SC062786,Independent Fostering Agency,Derbyshire,Private,East Midlands,0
SC481446,Independent Fostering Agency,Doncaster,Private,Yorkshire and The Humber,0
SC394822,Independent Fostering Agency,Gloucestershire,Private,South West,0
SC035415,Independent Fostering Agency,Gloucestershire,Voluntary,South West,0
SC423396,Independent Fostering Agency,Hampshire,Private,South East,0
SC031621,Independent Fostering Agency,Harrow,Private,London,0
SC033934,Independent Fostering Agency,Herefordshire,Private,West Midlands,0
SC357652,Independent Fostering Agency,Herefordshire,Private,West Midlands,0
SC035250,Independent Fostering Agency,Kent,Private,South East,0
SC448336,Independent Fostering Agency,Leeds,Voluntary,Yorkshire and The Humber,0
SC058896,Independent Fostering Agency,Lewisham,Voluntary,London,0
SC438506,Independent Fostering Agency,Nottingham City,Private,East Midlands,0
SC069335,Independent Fostering Agency,Oldham,Private,North West,0
SC063688,Independent Fostering Agency,Redbridge,Voluntary,London,0
SC036242,Independent Fostering Agency,Redcar & Cleveland,Voluntary,North East,0
SC458341,Independent Fostering Agency,Sandwell,Voluntary,West Midlands,0
SC467629,Independent Fostering Agency,Solihull,Private,West Midlands,0
SC030998,Independent Fostering Agency,South Gloucestershire,Private,South West,0
SC069455,Independent Fostering Agency,Southend on Sea,Voluntary,East of England,0
SC378306,Independent Fostering Agency,Staffordshire,Private,West Midlands,0
SC456650,Independent Fostering Agency,Stockport,Voluntary,North West,0
SC458129,Independent Fostering Agency,Sutton,Private,London,0
SC476942,Independent Fostering Agency,Walsall,Private,West Midlands,0
SC416601,Residential Family Centre,Bedford Borough,Private,East of England,7
SC366361,Residential Family Centre,Central Bedfordshire,Private,East of England,7
SC429589,Residential Family Centre,Kent,Private,South East,7
SC474728,Residential Family Centre,Newham,Private,London,7
SC066535,Residential Family Centre,Somerset,Private,South West,6
SC041515,Residential Special School,Cornwall,Voluntary,South West,20
SC022223,Residential Special School,Devon,Voluntary,South West,91
SC018010,Residential Special School,Essex,Private,East of England,42
SC012019,Residential Special School,Hampshire,Private,South East,91
SC056396,Residential Special School,Hertfordshire,Local Authority,East of England,20
SC040058,Residential Special School,North Yorkshire,Private,Yorkshire and The Humber,31
SC001836,Residential Special School,Leicestershire,Local Authority,East Midlands,21
SC013040,Residential Special School,Oxfordshire,Local Authority,South East,12
SC033089,Residential Special School,Somerset,Voluntary,South West,32
SC038731,Residential Special School,Staffordshire,Local Authority,West Midlands,10
SC013885,Residential Special School,Surrey,Local Authority,South East,24
SC013896,Residential Special School,Surrey,Local Authority,South East,37
SC013943,Residential Special School,Surrey,Voluntary,South East,50
SC032154,Residential special school (>295 days/year),Barnsley,Voluntary,Yorkshire and The Humber,16
SC398377,Children's Home,Telford & Wrekin,Private,West Midlands,3
SC398390,Children's Home,Telford & Wrekin,Private,West Midlands,1
SC469761,Children's Home,Telford & Wrekin,Private,West Midlands,3
SC475578,Children's Home,Telford & Wrekin,Private,West Midlands,3
SC034652,Children's Home,Tower Hamlets,Local Authority,London,6
SC420066,Children's Home,Trafford,Private,North West,8
SC368032,Children's Home,Walsall,Private,West Midlands,3
SC476270,Children's Home,Walsall,Private,West Midlands,5
SC061837,Children's Home,Warwickshire,Private,West Midlands,4
SC029865,Children's Home,West Sussex,Private,South East,3
SC449155,Children's Home,West Sussex,Private,South East,4
SC059753,Children's Home,Wiltshire,Private,South West,2
SC059755,Children's Home,Wiltshire,Private,South West,5
SC457502,Children's Home,Wirral,Private,North West,1
SC411616,Children's Home,Wokingham,Private,South East,3
SC372030,Children's Home,Wolverhampton,Private,West Midlands,2
SC403789,Children's Home,Worcestershire,Private,West Midlands,4
SC477121,Children's Home,Worcestershire,Private,West Midlands,3
SC041494,Further Education College,Cornwall,Voluntary,South West,100
SC060178,Further Education College,Derbyshire,Voluntary,East Midlands,14
SC059709,Further Education College,Lancashire,Local Authority,North West,278
SC036587,Independent Fostering Agency,Bexley,Private,London,0
SC037164,Independent Fostering Agency,Birmingham,Private,West Midlands,0
SC031085,Independent Fostering Agency,Bristol City,Voluntary,South West,0
SC050500,Independent Fostering Agency,Bristol City,Voluntary,South West,0
SC433647,Independent Fostering Agency,Bristol City,Voluntary,South West,0
SC474737,Independent Fostering Agency,Bromley,Private,London,0
SC409413,Independent Fostering Agency,Warwickshire,Private,West Midlands,0
SC057262,Independent Fostering Agency,Croydon,Private,London,0
SC464830,Independent Fostering Agency,Doncaster,Private,Yorkshire and The Humber,0
SC041254,Independent Fostering Agency,Dudley,Voluntary,West Midlands,0
SC035026,Independent Fostering Agency,Ealing,Private,London,0
SC062839,Independent Fostering Agency,East Sussex,Private,South East,0
SC400955,Independent Fostering Agency,Enfield,Private,London,0
SC476965,Independent Fostering Agency,Essex,Private,East of England,0
SC064220,Independent Fostering Agency,Hampshire,Private,South East,0
SC039655,Independent Fostering Agency,Hampshire,Voluntary,South East,0
SC066400,Independent Fostering Agency,Harrow,Private,London,0
SC033806,Independent Fostering Agency,Havering,Private,London,0
SC478324,Independent Fostering Agency,Hillingdon,Private,London,0
SC358196,Independent Fostering Agency,Bromley,Private,London,0
SC068276,Independent Fostering Agency,Kent,Private,South East,0
SC065772,Independent Fostering Agency,Leicestershire,Private,East Midlands,0
SC472850,Independent Fostering Agency,Liverpool,Private,North West,0
SC377311,Independent Fostering Agency,Oldham,Private,North West,0
SC062999,Independent Fostering Agency,Plymouth,Private,South West,0
SC036654,Independent Fostering Agency,Redbridge,Private,London,0
SC457831,Independent Fostering Agency,Redbridge,Private,London,0
SC067674,Adoption Support Agency,Devon,Private,South West,0
SC067733,Adoption Support Agency,Devon,Voluntary,South West,0
SC392927,Adoption Support Agency,Greenwich,Private,London,0
SC397224,Adoption Support Agency,Warwickshire,Voluntary,West Midlands,0
SC474187,Boarding School,Westminster,Private,London,128
SC470149,Boarding School,Lincolnshire,Academy,East Midlands,60
SC024584,Boarding School,Suffolk,Private,East of England,90
SC482938,Boarding School,West Sussex,Academy,South East,173
SC483028,Boarding School,Windsor & Maidenhead,Academy,South East,173
SC454484,Children's Home,Barnsley,Local Authority,Yorkshire and The Humber,5
SC068664,Children's Home,Barnsley,Private,Yorkshire and The Humber,5
SC475121,Children's Home,Barnsley,Private,Yorkshire and The Humber,5
SC476603,Children's Home,Bedford Borough,Private,East of England,3
SC033662,Children's Home,Birmingham,Local Authority,West Midlands,16
SC063167,Children's Home,Birmingham,Local Authority,West Midlands,5
SC410545,Children's Home,Birmingham,Private,West Midlands,2
SC423617,Children's Home,Birmingham,Private,West Midlands,3
SC456225,Children's Home,Birmingham,Private,West Midlands,4
SC458758,Children's Home,Birmingham,Private,West Midlands,4
SC373044,Children's Home,Bolton,Voluntary,North West,4
SC061005,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,8
SC065552,Children's Home,Bradford,Local Authority,Yorkshire and The Humber,8
SC068188,Children's Home,Bradford,Private,Yorkshire and The Humber,8
SC050124,Children's Home,Brent,Voluntary,London,5
SC066293,Children's Home,Brent,Voluntary,London,4
SC031504,Children's Home,Bristol City,Local Authority,South West,10
SC469411,Children's Home,Bury,Private,North West,4
SC034953,Children's Home,Calderdale,Local Authority,Yorkshire and The Humber,5
SC035154,Children's Home,Calderdale,Local Authority,Yorkshire and The Humber,5
SC015254,Children's Home,Cambridgeshire,Private,East of England,5
SC015266,Children's Home,Cambridgeshire,Voluntary,East of England,6
SC391503,Children's Home,Central Bedfordshire,Local Authority,East of England,4
SC381531,Children's Home,Cheshire East,Private,North West,5
SC457501,Children's Home,Cornwall,Private,South West,3
SC367951,Children's Home,Coventry,Private,West Midlands,6
SC462631,Children's Home,Croydon,Private,London,3
SC480422,Children's Home,Cumbria,Private,North West,5
SC037984,Children's Home,Darlington,Local Authority,North East,3
SC390751,Children's Home,Darlington,Private,North East,5
SC035780,Children's Home,Derbyshire,Local Authority,East Midlands,7
SC065553,Children's Home,Derbyshire,Local Authority,East Midlands,4
SC039897,Children's Home,Dudley,Local Authority,West Midlands,4
SC035678,Children's Home,Ealing,Local Authority,London,9
SC056259,Children's Home,East Riding of Yorkshire,Private,Yorkshire and The Humber,6
SC362987,Children's Home,East Riding of Yorkshire,Private,Yorkshire and The Humber,6
SC460063,Children's Home,East Riding of Yorkshire,Private,Yorkshire and The Humber,5
SC434573,Children's Home,East Sussex,Private,South East,4
SC035222,Children's Home,Stockton on Tees,Local Authority,North East,3
SC429778,Children's Home,Stockton on Tees,Private,North East,15
SC008270,Children's Home,Stoke on Trent,Private,West Midlands,2
SC356318,Children's Home,Stoke on Trent,Private,West Midlands,2
SC055357,Children's Home,Sunderland,Local Authority,North East,6
SC405933,Children's Home,Surrey,Local Authority,South East,6
SC426530,Children's Home,Surrey,Private,South East,3
SC417285,Children's Home,Swindon,Private,South West,2
SC020563,Children's Home,Telford & Wrekin,Voluntary,West Midlands,5
SC389781,Children's Home,Tower Hamlets,Private,London,8
SC020859,Children's Home,Walsall,Private,West Midlands,6
SC038526,Children's Home,Walsall,Private,West Midlands,5
SC406638,Children's Home,Waltham Forest,Private,London,3
SC387784,Children's Home,Stoke on Trent,Local Authority,West Midlands,2
SC367551,Children's Home,Stoke on Trent,Private,West Midlands,3
SC037256,Children's Home,Suffolk,Local Authority,East of England,7
SC060936,Children's Home,Suffolk,Private,East of England,11
SC408714,Children's Home,Suffolk,Private,East of England,6
SC394025,Children's Home,Surrey,Voluntary,South East,26
SC441131,Children's Home,Swindon,Private,South West,3
SC396104,Children's Home,Tameside,Private,North West,6
SC379123,Children's Home,Telford & Wrekin,Private,West Midlands,5
SC439116,Children's Home,Trafford,Private,North West,2
SC033808,Children's Home,Wakefield,Local Authority,Yorkshire and The Humber,7
SC006294,Children's Home,Wakefield,Private,Yorkshire and The Humber,4
SC448129,Children's Home,Wakefield,Private,Yorkshire and The Humber,2
SC062785,Children's Home,Waltham Forest,Private,London,9
SC442778,Children's Home,Warrington,Local Authority,North West,2
SC456959,Children's Home,Warrington,Private,North West,1
SC004429,Children's Home,Warwickshire,Voluntary,West Midlands,5
SC399222,Children's Home,West Sussex,Local Authority,South East,3
SC014848,Children's Home,West Sussex,Private,South East,6
SC068272,Children's Home,West Sussex,Private,South East,9
SC005751,Children's Home,Wigan,Private,North West,1
SC064428,Children's Home,Wigan,Private,North West,4
SC037596,Children's Home,Wiltshire,Private,South West,4
SC068645,Children's Home,Wiltshire,Private,South West,5
SC420410,Children's Home,Wiltshire,Private,South West,3
SC464630,Children's Home,Wiltshire,Private,South West,2
SC065789,Children's Home,Wirral,Private,North West,3
SC067771,Children's Home,Wirral,Private,North West,4
SC378153,Children's Home,Staffordshire,Local Authority,West Midlands,6
SC383941,Children's Home,Worcestershire,Private,West Midlands,4
SC034940,Children's Home,York,Local Authority,Yorkshire and The Humber,8
SC066736,Further Education College,Surrey,Voluntary,South East,98
SC395046,Independent Fostering Agency,Birmingham,Private,West Midlands,0
SC466739,Independent Fostering Agency,Brent,Private,London,0
SC069007,Independent Fostering Agency,Bromley,Private,London,0
SC032760,Independent Fostering Agency,Devon,Private,South West,0
SC065119,Independent Fostering Agency,Durham,Private,North East,0
SC462226,Independent Fostering Agency,East Sussex,Private,South East,0
SC048508,Independent Fostering Agency,Essex,Private,East of England,0
SC465868,Independent Fostering Agency,Hillingdon,Private,London,0
SC477723,Independent Fostering Agency,Kent,Private,South East,0
SC036876,Independent Fostering Agency,Kent,Voluntary,South East,0
SC043552,Independent Fostering Agency,Kent,Voluntary,South East,0
SC450903,Independent Fostering Agency,Lancashire,Private,North West,0
SC034000,Independent Fostering Agency,Lewisham,Voluntary,London,0
