time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,placement_stability,number,percentage
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA on 31 March,Total children,544,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA on 31 March,With 3 or more placements during the year,38,7
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",106,71
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,150,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA 2 years on 31 March,Total children,266,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,63,24
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA on 31 March,Total children,359,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA on 31 March,With 3 or more placements during the year,37,10
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",344,65
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,531,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA 2 years on 31 March,Total children,989,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,210,21
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA on 31 March,Total children,1384,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA on 31 March,With 3 or more placements during the year,138,10
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",126,61
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,207,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA 2 years on 31 March,Total children,404,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,89,22
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA on 31 March,Total children,538,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA on 31 March,With 3 or more placements during the year,55,10
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",170,74
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,230,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA 2 years on 31 March,Total children,441,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,59,13
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA on 31 March,Total children,553,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA on 31 March,With 3 or more placements during the year,35,6
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",155,70
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,220,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA 2 years on 31 March,Total children,399,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,81,20
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA on 31 March,Total children,563,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA on 31 March,With 3 or more placements during the year,61,11
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",112,74
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,152,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA 2 years on 31 March,Total children,337,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,86,26
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA on 31 March,Total children,447,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA on 31 March,With 3 or more placements during the year,57,13
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",207,72
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,289,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA 2 years on 31 March,Total children,519,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,80,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA on 31 March,Total children,666,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA on 31 March,With 3 or more placements during the year,35,5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",132,75
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,176,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA 2 years on 31 March,Total children,295,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,56,19
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA on 31 March,Total children,361,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA on 31 March,With 3 or more placements during the year,19,5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",137,71
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,192,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA 2 years on 31 March,Total children,472,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,115,24
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA on 31 March,Total children,614,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA on 31 March,With 3 or more placements during the year,66,11
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",107,73
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,146,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA 2 years on 31 March,Total children,233,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,31,13
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA on 31 March,Total children,298,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA on 31 March,With 3 or more placements during the year,23,8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",550,79
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,695,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA 2 years on 31 March,Total children,1223,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,203,17
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA on 31 March,Total children,1594,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA on 31 March,With 3 or more placements during the year,127,8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",159,75
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,213,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA 2 years on 31 March,Total children,363,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,73,20
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA on 31 March,Total children,470,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA on 31 March,With 3 or more placements during the year,44,9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",161,65
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,247,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA 2 years on 31 March,Total children,457,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,97,21
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA on 31 March,Total children,594,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA on 31 March,With 3 or more placements during the year,53,9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",281,72
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,388,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA 2 years on 31 March,Total children,651,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,121,19
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA on 31 March,Total children,789,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA on 31 March,With 3 or more placements during the year,63,8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",219,73
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,300,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA 2 years on 31 March,Total children,557,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,95,17
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA on 31 March,Total children,734,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA on 31 March,With 3 or more placements during the year,60,8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",615,72
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,852,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA 2 years on 31 March,Total children,1464,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,271,19
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA on 31 March,Total children,1934,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA on 31 March,With 3 or more placements during the year,172,9
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",200,65
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,309,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA 2 years on 31 March,Total children,658,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,173,26
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA on 31 March,Total children,881,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA on 31 March,With 3 or more placements during the year,93,11
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",86,67
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,129,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA 2 years on 31 March,Total children,255,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,70,27
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA on 31 March,Total children,325,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA on 31 March,With 3 or more placements during the year,50,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",141,69
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,204,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CLA 2 years on 31 March,Total children,440,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,86,20
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CLA on 31 March,Total children,615,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CLA on 31 March,With 3 or more placements during the year,53,9
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",60,74
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,81,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CLA 2 years on 31 March,Total children,148,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,25,17
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CLA on 31 March,Total children,192,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CLA on 31 March,With 3 or more placements during the year,16,8
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",73,68
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,107,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CLA 2 years on 31 March,Total children,225,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,41,18
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CLA on 31 March,Total children,276,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CLA on 31 March,With 3 or more placements during the year,26,9
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",75,69
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,108,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA 2 years on 31 March,Total children,223,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,39,17
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA on 31 March,Total children,348,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA on 31 March,With 3 or more placements during the year,39,11
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",142,75
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,189,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CLA 2 years on 31 March,Total children,413,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,62,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CLA on 31 March,Total children,589,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CLA on 31 March,With 3 or more placements during the year,39,7
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",169,70
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,241,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CLA 2 years on 31 March,Total children,432,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,91,21
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CLA on 31 March,Total children,556,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CLA on 31 March,With 3 or more placements during the year,59,11
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",142,72
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,197,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,CLA 2 years on 31 March,Total children,456,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,115,25
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,CLA on 31 March,Total children,667,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,CLA on 31 March,With 3 or more placements during the year,74,11
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",397,74
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,539,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA 2 years on 31 March,Total children,1045,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,205,20
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA on 31 March,Total children,1446,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA on 31 March,With 3 or more placements during the year,110,8
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",106,78
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,136,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA 2 years on 31 March,Total children,254,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,34,13
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA on 31 March,Total children,337,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA on 31 March,With 3 or more placements during the year,19,6
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,"Living with the same carer for at least 2 years, or are placed for adoption and their adoptive placement together with their previous placement, last for at least 2 years",180,74
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,Children looked after continuously for at least 2.5 years at 31 March aged under 16 years,Total children,244,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,CLA 2 years on 31 March,Total children,486,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,CLA 2 years on 31 March,With 3 or more placements during the previous 2 years,78,16
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,CLA on 31 March,Total children,601,100
